date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:00:19	219/219	---M--	200	added ('OK')	image/png	etag:%223ee1092-db-4f1dad1705962%22	http://admindesigns.com/stardom/vendor/plugins/gmap/images/arrow_left_12x12.png	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/gmap/images/arrow_left_12x12.png	(from http://admindesigns.com/stardom/css/plugins.css)
08:00:20	215/215	---M--	200	added ('OK')	image/png	etag:%223ee1093-d7-4f1dad175471f%22	http://admindesigns.com/stardom/vendor/plugins/gmap/images/arrow_right_12x12.png	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/gmap/images/arrow_right_12x12.png	(from http://admindesigns.com/stardom/css/plugins.css)
08:00:24	34911/34911	---M--	200	added ('OK')	image/png	etag:%223e618fa-885f-4f1dae7715339%22	http://admindesigns.com/stardom/img/form/sprite.png	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/img/form/sprite.png	(from http://admindesigns.com/stardom/css/plugins.css)
08:00:24	143/143	---M--	200	added ('OK')	image/png	etag:%223e618f5-8f-4f1dae687a628%22	http://admindesigns.com/stardom/img/form/bg-input.png	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/img/form/bg-input.png	(from http://admindesigns.com/stardom/css/plugins.css)
08:00:24	143/143	---M--	200	added ('OK')	image/png	etag:%223e618f4-8f-4f1dae687a628%22	http://admindesigns.com/stardom/img/form/bg-input-focus.png	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/img/form/bg-input-focus.png	(from http://admindesigns.com/stardom/css/plugins.css)
08:00:26	3898/3898	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202014%2004:37:16%20GMT	http://admindesigns.com/stardom/css/customizer.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/css/customizer.css	(from http://admindesigns.com/stardom/customizer.html)
08:00:28	25688/25688	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2008%20Feb%202014%2001:09:58%20GMT	http://admindesigns.com/stardom/vendor/plugins/chosen/chosen.jquery.min.js	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/chosen/chosen.jquery.min.js	(from http://admindesigns.com/stardom/customizer.html)
08:00:30	13366/13366	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2008%20Feb%202014%2001:10:00%20GMT	http://admindesigns.com/stardom/vendor/plugins/colorpicker/bootstrap-colorpicker.js	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/colorpicker/bootstrap-colorpicker.js	(from http://admindesigns.com/stardom/customizer.html)
08:00:32	1406/1406	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2008%20Feb%202014%2001:15:26%20GMT	http://admindesigns.com/stardom/vendor/plugins/generateFile/assets/js/jquery.generateFile.js	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/generateFile/assets/js/jquery.generateFile.js	(from http://admindesigns.com/stardom/customizer.html)
08:00:32	419/419	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2008%20Feb%202014%2001:15:26%20GMT	http://admindesigns.com/stardom/vendor/plugins/generateFile/assets/js/script.js	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/generateFile/assets/js/script.js	(from http://admindesigns.com/stardom/customizer.html)
08:00:33	12534/12534	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2012%20Feb%202014%2004:37:28%20GMT	http://admindesigns.com/stardom/js/customizer.js	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/js/customizer.js	(from http://admindesigns.com/stardom/customizer.html)
08:00:34	12462/12462	---M--	200	added ('OK')	image/png	etag:%223e618e7-30ae-4f1dae57352fb%22	http://admindesigns.com/stardom/img/avatars/5.png	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/img/avatars/5.png	(from http://admindesigns.com/stardom/messages.html)
08:00:35	2510/2510	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Feb%202014%2001:10:00%20GMT	http://admindesigns.com/stardom/vendor/plugins/colorpicker/colorpicker.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/colorpicker/colorpicker.css	(from http://admindesigns.com/stardom/calendar.html)
08:00:37	22805/22805	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Feb%202014%2001:18:29%20GMT	http://admindesigns.com/stardom/fonts/icomoon/style.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/fonts/icomoon/style.css	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:37	40967/40967	---M--	200	added ('OK')	image/png	etag:%223e618eb-a007-4f1dae580ef67%22	http://admindesigns.com/stardom/img/avatars/login.png	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/img/avatars/login.png	(from http://admindesigns.com/stardom/screen-lock.html)
08:00:39	1651/1651	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Feb%202014%2001:21:01%20GMT	http://admindesigns.com/stardom/documentation/vendor/highlight/styles/github.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/documentation/vendor/highlight/styles/github.css	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:39	1502/1502	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Feb%202014%2001:11:17%20GMT	http://admindesigns.com/stardom/vendor/plugins/prettify/prettify.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/prettify/prettify.css	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:39	8650/8650	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Feb%202014%2001:12:17%20GMT	http://admindesigns.com/stardom/vendor/plugins/datatables/css/datatables.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/datatables/css/datatables.css	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:40	68369/68369	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Feb%202014%2001:20:56%20GMT	http://admindesigns.com/stardom/documentation/css/theme.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/documentation/css/theme.css	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:41	3631/3631	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Feb%202014%2001:20:56%20GMT	http://admindesigns.com/stardom/documentation/css/css.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/documentation/css/css.css	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:41	894/894	---M--	200	added ('OK')	image/x-icon	etag:%223ee14f9-37e-4f1daeb2ba6fd%22	http://admindesigns.com/stardom/documentation/img/favicon.ico	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/documentation/img/favicon.ico	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:42	7105/7105	---M--	200	added ('OK')	image/png	etag:%223ee14fb-1bc1-4f1daeb3098a1%22	http://admindesigns.com/stardom/documentation/img/logo.png	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/documentation/img/logo.png	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:42	232/232	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20May%202014%2015:00:40%20GMT	http://admindesigns.com/stardom/documentation/style-1-tab2	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/documentation/style-1-tab2.81.delayed	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:43	232/232	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20May%202014%2015:00:41%20GMT	http://admindesigns.com/stardom/documentation/style-2-tab2	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/documentation/style-2-tab2	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:44	232/232	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20May%202014%2015:00:41%20GMT	http://admindesigns.com/stardom/documentation/style-3-tab2	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/documentation/style-3-tab2	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:45	251/251	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20May%202014%2015:00:42%20GMT	http://admindesigns.com/stardom/documentation/www.elevateweb.co.uk/image-zoom	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/documentation/www.elevateweb.co.uk/image-zoom	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:46	27465/27465	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2015:23:39%20GMT	http://admindesigns.com/stardom/frontend_preview.html	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/frontend_preview.html	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:46	2781/2781	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2008%20Feb%202014%2001:10:25%20GMT	http://admindesigns.com/stardom/vendor/plugins/fitvids/jquery.fitvids.js	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/fitvids/jquery.fitvids.js	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:47	14551/14551	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2008%20Feb%202014%2001:11:17%20GMT	http://admindesigns.com/stardom/vendor/plugins/prettify/prettify.min.js	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/prettify/prettify.min.js	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:48	11494/11494	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2008%20Feb%202014%2001:21:00%20GMT	http://admindesigns.com/stardom/documentation/vendor/highlight/highlight.pack.js	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/documentation/vendor/highlight/highlight.pack.js	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:50	2731/2731	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2008%20Feb%202014%2001:20:58%20GMT	http://admindesigns.com/stardom/documentation/js/main.js	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/documentation/js/main.js	(from http://admindesigns.com/stardom/documentation/index.html)
08:00:51	227/227	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20May%202014%2015:00:49%20GMT	http://admindesigns.com/stardom/documentation/pre.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/documentation/pre.8a.delayed	(from http://admindesigns.com/stardom/documentation/index.html)
08:01:00	14492/14492	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Feb%202014%2001:12:41%20GMT	http://admindesigns.com/stardom/vendor/plugins/formswitch/css/bootstrap-switch.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/formswitch/css/bootstrap-switch.css	(from http://admindesigns.com/stardom/portlets.html)
08:01:28	8484/8484	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2008%20Feb%202014%2001:12:43%20GMT	http://admindesigns.com/stardom/vendor/plugins/formswitch/js/bootstrap-switch.min.js	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/formswitch/js/bootstrap-switch.min.js	(from http://admindesigns.com/stardom/portlets.html)
08:01:53	7716/7716	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Feb%202014%2001:10:56%20GMT	http://admindesigns.com/stardom/vendor/plugins/ladda/ladda.min.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/ladda/ladda.min.css	(from http://admindesigns.com/stardom/buttons.html)
